IDDate,ID,Date,DatePlus15,Week,Rank,Total GR,Total GR Rec,Total GR Given,GR AF,TotalKnownDuration,FreqTotalGR,FreqGRRec,FreqGRGiven,FreqGRAF,5mAF,5mAllAdults,Scansperday,FreqAFProx,FreqAllAdultProx
0J82/20/2015,0J8,2/20/15,3/7/15,8,32,0:01:13,0:01:13,0:00:00,0:00:00,0:30:09,0.040353787,0.040353787,0,0,1,1,7,0.142857143,0.142857143
0J82/24/2015,0J8,2/24/15,3/11/15,9,32,0:00:00,0:00:00,0:00:00,0:00:00,0:22:45,0,0,0,0,0,0,5,0,0
0J82/25/2015,0J8,2/25/15,3/12/15,9,32,0:02:00,0:02:00,0:00:00,0:00:00,0:30:09,0.066334992,0.066334992,0,0,0,6,7,0,0.857142857
0J82/26/2015,0J8,2/26/15,3/13/15,9,32,0:00:00,0:00:00,0:00:00,0:00:00,1:00:21,0,0,0,0,5,8,14,0.357142857,0.571428571
0J83/12/2015,0J8,3/12/15,3/27/15,11,32,0:30:22,0:19:25,0:10:57,0:00:00,1:31:11,0.333028697,0.212940961,0.120087735,0,2,7,21,0.095238095,0.333333333
0J83/17/2015,0J8,3/17/15,4/1/15,12,32,0:00:00,0:00:00,0:00:00,0:00:00,0:30:07,0,0,0,0,0,0,7,0,0
0J83/18/2015,0J8,3/18/15,4/2/15,12,32,0:22:27,0:22:27,0:00:00,0:00:00,1:02:16,0.360546039,0.360546039,0,0,5,10,14,0.357142857,0.714285714
0J83/19/2015,0J8,3/19/15,4/3/15,12,32,0:00:00,0:00:00,0:00:00,0:00:00,0:30:20,0,0,0,0,3,4,7,0.428571429,0.571428571
0J83/2/2015,0J8,3/2/15,3/17/15,10,32,0:09:54,0:09:54,0:00:00,0:00:00,0:31:13,0.317138281,0.317138281,0,0,0,2,7,0,0.285714286
0J83/23/2015,0J8,3/23/15,4/7/15,13,32,0:00:00,0:00:00,0:00:00,0:00:00,0:26:58,0,0,0,0,1,3,6,0.166666667,0.5
0J83/24/2015,0J8,3/24/15,4/8/15,13,32,0:00:00,0:00:00,0:00:00,0:00:00,0:30:05,0,0,0,0,0,0,7,0,0
0J83/27/2015,0J8,3/27/15,4/11/15,13,32,0:02:00,0:00:00,0:02:00,0:00:00,0:30:00,0.066666667,0,0.066666667,0,2,3,7,0.285714286,0.428571429
0J83/28/2015,0J8,3/28/15,4/12/15,13,32,0:04:00,0:00:00,0:04:00,0:00:00,0:36:00,0.111111111,0,0.111111111,0,1,2,7,0.142857143,0.285714286
0J83/3/2015,0J8,3/3/15,3/18/15,10,32,0:00:00,0:00:00,0:00:00,0:00:00,0:30:04,0,0,0,0,1,3,7,0.142857143,0.428571429
0J83/4/2015,0J8,3/4/15,3/19/15,10,32,0:00:00,0:00:00,0:00:00,0:00:00,0:30:01,0,0,0,0,1,3,7,0.142857143,0.428571429
0J83/6/2015,0J8,3/6/15,3/21/15,10,32,0:00:00,0:00:00,0:00:00,0:00:00,0:30:02,0,0,0,0,0,0,7,0,0
0J84/1/2015,0J8,4/1/15,4/16/15,14,32,0:00:00,0:00:00,0:00:00,0:00:00,0:30:08,0,0,0,0,3,4,7,0.428571429,0.571428571
0J84/14/2015,0J8,4/14/15,4/29/15,16,32,0:06:00,0:04:00,0:02:00,0:00:00,0:30:00,0.2,0.133333333,0.066666667,0,4,7,7,0.571428571,1
0J84/15/2015,0J8,4/15/15,4/30/15,16,32,0:11:07,0:02:57,0:08:10,0:00:00,1:00:08,0.184866962,0.04905765,0.135809313,0,1,5,13,0.076923077,0.384615385
0J84/17/2015,0J8,4/17/15,5/2/15,16,32,0:00:00,0:00:00,0:00:00,0:00:00,0:30:00,0,0,0,0,5,10,7,0.714285714,1.428571429
0J84/2/2015,0J8,4/2/15,4/17/15,14,32,0:00:00,0:00:00,0:00:00,0:00:00,0:30:10,0,0,0,0,0,1,7,0,0.142857143
0J84/20/2015,0J8,4/20/15,5/5/15,17,32,0:09:55,0:05:51,0:04:04,0:00:00,0:30:11,0.328547764,0.193815572,0.134732192,0,0,4,7,0,0.571428571
0J84/21/2015,0J8,4/21/15,5/6/15,17,32,0:00:00,0:00:00,0:00:00,0:00:00,1:01:03,0,0,0,0,9,19,14,0.642857143,1.357142857
0J84/23/2015,0J8,4/23/15,5/8/15,17,32,0:19:28,0:16:18,0:03:10,0:01:42,0:45:30,0.427838828,0.358241758,0.06959707,0.037362637,4,11,9,0.444444444,1.222222222
0J84/3/2015,0J8,4/3/15,4/18/15,14,32,0:00:00,0:00:00,0:00:00,0:00:00,1:01:00,0,0,0,0,6,16,14,0.428571429,1.142857143
0J84/7/2015,0J8,4/7/15,4/22/15,15,32,0:00:00,0:00:00,0:00:00,0:00:00,0:30:40,0,0,0,0,6,13,7,0.857142857,1.857142857
0J84/8/2015,0J8,4/8/15,4/23/15,15,32,0:11:26,0:01:32,0:09:54,0:00:00,1:00:23,0.189345846,0.02539332,0.163952526,0,0,4,13,0,0.307692308
0J84/9/2015,0J8,4/9/15,4/24/15,15,32,0:17:58,0:11:10,0:06:48,0:00:00,0:30:17,0.593285636,0.368739681,0.224545955,0,0,5,7,0,0.714285714
1E51/20/2015,1.00E+05,1/20/15,2/4/15,4,25,0:00:00,0:00:00,0:00:00,0:00:00,0:45:10,0,0,0,0,4,4,10,0.4,0.4
1E51/21/2015,1.00E+05,1/21/15,2/5/15,4,25,0:00:00,0:00:00,0:00:00,0:00:00,0:30:04,0,0,0,0,0,2,7,0,0.285714286
1E51/23/2015,1.00E+05,1/23/15,2/7/15,4,25,0:00:00,0:00:00,0:00:00,0:00:00,0:30:05,0,0,0,0,2,5,7,0.285714286,0.714285714
1E51/26/2015,1.00E+05,1/26/15,2/10/15,5,25,0:00:00,0:00:00,0:00:00,0:00:00,0:30:16,0,0,0,0,0,2,7,0,0.285714286
1E51/27/2015,1.00E+05,1/27/15,2/11/15,5,25,0:00:00,0:00:00,0:00:00,0:00:00,0:30:44,0,0,0,0,0,0,7,0,0
1E51/28/2015,1.00E+05,1/28/15,2/12/15,5,25,0:08:22,0:04:34,0:03:48,0:03:06,1:00:26,0.138444567,0.075565361,0.062879206,0.051296194,1,1,14,0.071428571,0.071428571
1E52/10/2015,1.00E+05,2/10/15,2/25/15,7,25,0:00:35,0:00:35,0:00:00,0:00:35,0:30:08,0.019358407,0.019358407,0,0.019358407,1,4,7,0.142857143,0.571428571
1E52/17/2015,1.00E+05,2/17/15,3/4/15,8,25,0:00:00,0:00:00,0:00:00,0:00:00,1:00:36,0,0,0,0,1,2,14,0.071428571,0.142857143
