"","IDDate","SampleNo","Animal.ID","Date","Month","Time","Initials","Assay.date","ul.sample","ul.buffer","NEO.Dilution.factor","NEO.Result..nmol.L.","NEO.DF","Creatinine..mg.ml.","CR.Dilution.factor","CR.DF","NEO.CR","RelRank"
"50","5B242051",90,"5B2",2015-02-16,2,"10:40 AM","CR","10/21/16",10,390,40,8.441,337.64,0.039,10,0.39,219.20628,0.153846154
"51","4I842051",92,"4I8",2015-02-16,2,"1:10 PM","CR","10/21/16",10,390,40,58.765,2350.6,0.06,40,2.4,247.9883,0.307692308
"52","6H242051",93,"6H2",2015-02-16,2,"1:22 PM","CR","10/21/16",10,390,40,12.39,495.6,0.041,10,0.41,306.06322,0.326923077
"53","1E542052",94,"1E5",2015-02-17,2,"10:14 AM","CR","10/21/16",10,390,40,3.791,151.64,0.017,10,0.17,225.8544,0.480769231
"54","1E542052",95,"1E5",2015-02-17,2,"10:37 AM","CR","10/21/16",10,390,40,3.117,124.68,0.014,10,0.14,225.49269,0.480769231
"55","3I342052",97,"3I3",2015-02-17,2,"2:04 PM","CR","10/21/16",10,390,40,28.848,1153.92,0.118,10,1.18,247.60385,0.230769231
"56","0J142052",98,"0J1",2015-02-17,2,"11:40 AM","LR","12/5/16",10,90,10,11.481,114.81,0.015,10,0.15,193.79928,0.346153846
"57","0J042052",99,"0J0",2015-02-17,2,"10:10 AM","LR","2/15/17",10,40,5,15.419,77.095,0.014,10,0.14,139.43181,0.384615385
"58","0J042052",100,"0J0",2015-02-17,2,"10:20 AM","LR","2/15/17",10,40,5,12.268,61.34,0.014,10,0.14,110.93777,0.384615385
"59","0J842052",101,"0J8",2015-02-17,2,"8:20 AM","LR","10/21/16",10,390,40,11.298,451.92,0.087,10,0.87,131.5243,0.615384615
"60","3I242053",102,"3I2",2015-02-18,2,"10:37 AM","CR","12/5/16",10,90,10,4.446,44.46,0.01,10,0.1,112.57272,0.269230769
"61","6H242053",103,"6H2",2015-02-18,2,"10:49 AM","CR","12/5/16",10,90,10,12.5,125,0.01,10,0.1,316.5,0.326923077
"62","6I242053",104,"6I2",2015-02-18,2,"12:22 PM","CR","12/5/16",10,90,10,11.264,112.64,0.021,10,0.21,135.81166,0.634615385
"63","6I242053",105,"6I2",2015-02-18,2,"12:36 PM","CR","10/21/16",10,390,40,10.085,403.4,0.027,10,0.27,378.29956,0.634615385
"64","0J142053",106,"0J1",2015-02-18,2,"2:02 PM","CR","10/24/16",10,390,40,6.474,258.96,0.018,10,0.18,364.2704,0.346153846
"65","5G242053",107,"5G2",2015-02-18,2,"11:05 AM","JH","10/24/16",10,390,40,28.817,1152.68,0.071,40,2.84,102.7671,0.596153846
"66","5G242053",108,"5G2",2015-02-18,2,"12:20 PM","LR","12/5/16",10,390,40,8.753,350.12,0.085,10,0.85,104.29457,0.596153846
"67","6I142053",109,"6I1",2015-02-18,2,"10:02 AM","LR","2/15/17",10,40,5,16.176,80.88,0.015,10,0.15,136.52544,0.365384615
"68","6I142053",110,"6I1",2015-02-18,2,"1:00 PM","LR","12/5/16",10,190,20,4.639,92.78,0.017,10,0.17,138.18762,0.365384615
"69","3I242053",111,"3I2",2015-02-18,2,"10:15 AM","LR","12/5/16",10,90,10,5.618,56.18,0.01,10,0.1,142.24776,0.269230769
"70","8B542054",112,"8B5",2015-02-19,2,"9:53 AM","CR","10/24/16",10,390,40,1.517,60.68,0.011,10,0.11,139.67433,0.423076923
"71","8D642054",113,"8D6",2015-02-19,2,"10:44 AM","CR","10/24/16",10,390,40,11.446,457.84,0.026,10,0.26,445.86572,0.461538462
"72","0J842054",114,"0J8",2015-02-19,2,"1:16 PM","CR","2/15/16",10,190,20,12.623,252.46,0.029,10,0.29,220.4237,0.615384615
"73","3I542054",116,"3I5",2015-02-19,2,"9:05 AM","LR","10/24/16",10,390,40,1.567,62.68,0.011,10,0.11,144.27796,0.25
"74","0G842055",117,"0G8",2015-02-20,2,"10:55 AM","JH","10/24/16",10,390,40,9.78,391.2,0.074,10,0.74,133.85384,0.519230769
"75","6I142055",118,"6I1",2015-02-20,2,"9:27 AM","CR","12/5/16",10,390,40,3.493,139.72,0.041,10,0.41,86.28562,0.365384615
"76","3I242055",119,"3I2",2015-02-20,2,"1:00 PM","CR","12/5/16",10,90,10,3.986,39.86,0.009,10,0.09,112.13947,0.269230769
"77","0G842055",120,"0G8",2015-02-20,2,"1:47 PM","CR","10/24/16",10,390,40,18.209,728.36,0.104,10,1.04,177.32765,0.519230769
"78","0J042058",121,"0J0",2015-02-23,2,"8:42 AM","CR","10/24/16",10,390,40,1.787,71.48,0.012,10,0.12,150.8228,0.384615385
"79","6I142058",122,"6I1",2015-02-23,2,"9:40 AM","CR","10/24/16",10,390,40,2.212,88.48,0.017,10,0.17,131.78315,0.365384615
"80","0J142058",123,"0J1",2015-02-23,2,"11:07 AM","CR","10/24/16",10,390,40,5.023,200.92,0.014,10,0.14,363.37817,0.346153846
"81","6I142058",124,"6I1",2015-02-23,2,"12:15 PM","CR","10/24/16",10,390,40,2.112,84.48,0.014,10,0.14,152.78811,0.365384615
"82","8B542058",125,"8B5",2015-02-23,2,"1:00 PM","CR","10/24/16",10,390,40,7.809,312.36,0.041,10,0.41,192.90135,0.423076923
"83","5G242058",126,"5G2",2015-02-23,2,"12:25 PM","LR","10/24/16",10,390,40,1.596,63.84,0.011,10,0.11,146.94807,0.596153846
"84","6I142058",127,"6I1",2015-02-23,2,"11:55 AM","LR","2/15/17",10,190,20,5.279,105.58,0.014,10,0.14,190.94897,0.365384615
"85","0J042058",128,"0J0",2015-02-23,2,"1:08 PM","LR","10/24/16",10,390,40,7.42,296.8,0.05,10,0.5,150.29952,0.384615385
"86","3I542059",129,"3I5",2015-02-24,2,"8:10 AM","CR","12/5/16",10,390,40,6.259,250.36,0.033,10,0.33,192.0944,0.25
"87","3I542059",130,"3I5",2015-02-24,2,"8:25 AM","CR","10/24/16",10,390,40,2.438,97.52,0.012,10,0.12,205.7672,0.25
"88","3I542059",131,"3I5",2015-02-24,2,"8:38 AM","CR","10/24/16",10,390,40,2.119,84.76,0.011,10,0.11,195.10211,0.25
